,PG-PCTE measured,,bare PCTE prediction,,,bare PCTE (b-PCTE) measurement,,,,
Salt,Permeation (mol/sec/m^2),Standard deviation of permeation,mol/sec/m^2,error positive,error negative,Measured flux mol/sec/m^2,Standard deviation,possible delta,,
KCl,6.81E-07,1.12E-07,1.30E-06,3.62E-07,6.59E-07,1.34E-06,2.35E-07,1.03E+00,5.64E-01,2.52E+00
NaCl,7.20E-07,1.14E-07,1.10E-06,3.06E-07,5.56E-07,1.03E-06,1.79E-08,2.36E+00,1.39E+00,4.84E+00
LiCl,7.16E-07,2.70E-08,1.00E-06,2.78E-07,5.06E-07,6.79E-07,9.03E-08,-1.97E+01,8.50E+00,-4.83E+00
CaCl,5.54E-07,7.20E-08,9.23E-07,2.56E-07,4.67E-07,7.90E-07,6.31E-08,2.34E+00,1.30E+00,6.19E+00
MgSO4,6.35E-07,1.34E-07,5.77E-07,1.60E-07,2.92E-07,6.34E-07,8.64E-08,-5.87E+02,2.29E+00,-3.47E+00
K3FeCN6,2.86E-07,4.23E-08,9.33E-07,2.59E-07,4.72E-07,5.75E-07,6.56E-08,9.87E-01,6.12E-01,1.81E+00
K2So4,4.31E-07,5.25E-08,9.88E-07,2.75E-07,5.00E-07,7.22E-07,7.26E-08,1.48E+00,9.11E-01,2.92E+00
